Fecha,Producto,Cantidad Vendida,Precio
2023-01-01,Guantes de Limpieza,21,35
2023-01-01,Bufandas,59,65
2023-01-01,Paraguas,25,120
2023-01-01,Tijeras,47,55
2023-01-01,Fosforos,89,8
2023-01-01,Repelente de Insectos,44,55
2023-01-01,Lapices,101,15
2023-01-01,Suavizante,120,65
2023-01-01,Espejos,20,75
2023-01-01,Toallas Femeninas,369,70
2023-01-01,Maquillaje,25,95
2023-01-01,Velas,47,30
2023-01-01,Cremas,245,120
2023-01-01,Limpiavidrios,56,55
2023-01-01,Alcohol,74,30
2023-01-01,Trapeador,48,95
2023-01-01,Vitaminas,34,125
2023-01-01,Guantes,30,55
2023-01-01,Pasta Dental,230,45
2023-01-01,Calcetines,174,35
2023-01-01,Cables USB,50,45
2023-01-01,Jabon,777,100
2023-01-01,Sombreros,27,85
2023-01-02,Desinfectante,57,45
2023-01-02,Limpiavidrios,56,55
2023-01-02,Condones,602,170
2023-01-02,Perfume,18,180
2023-01-02,Cepillo,213,50
2023-01-02,Enjuague Bucal,149,85
2023-01-02,Sombreros,48,85
2023-01-02,Shampoo,804,100
2023-01-02,Repelente de Insectos,44,55
2023-01-02,Protectores Solares,64,95
2023-01-02,Cinta Adhesiva,57,20
2023-01-02,Detergente,236,75
2023-01-02,Cortauñas,104,25
2023-01-02,Papel Higienico,451,35
2023-01-03,Espejos,14,75
2023-01-03,Tijeras,20,55
2023-01-03,Limpiavidrios,82,55
2023-01-03,Jabon,943,100
2023-01-03,Cremas,320,120
2023-01-03,Servilletas,433,20
2023-01-03,Escoba,32,120
2023-01-03,Guantes,53,55
2023-01-03,Aspirinas,165,35
2023-01-03,Esponjas,159,15
2023-01-03,Algodon,56,20
2023-01-03,Cinta Adhesiva,65,20
2023-01-03,Perfume,36,180
2023-01-03,Cables USB,15,45
2023-01-03,Focos,50,35
2023-01-03,Velas,59,30
2023-01-03,Desinfectante,118,45
2023-01-03,Cubeta,19,150
2023-01-03,Suavizante,144,65
2023-01-03,Bufandas,52,65
2023-01-03,Cortauñas,47,25
2023-01-03,Cuadernos,93,45
2023-01-03,Cepillo,54,50
2023-01-03,Baterias,135,25
2023-01-04,Cepillo,124,50
2023-01-04,Protectores Solares,28,95
2023-01-04,Cloro,103,40
2023-01-04,Fosforos,84,8
2023-01-04,Paraguas,22,120
2023-01-04,Condones,940,170
2023-01-04,Limpiavidrios,24,55
2023-01-04,Cremas,343,120
2023-01-04,Shampoo,409,100
2023-01-04,Cortauñas,85,25
2023-01-04,Tijeras,34,55
2023-01-04,Aspirinas,65,35
2023-01-04,Esponjas,104,15
2023-01-04,Guantes,79,55
2023-01-04,Servilletas,101,20
2023-01-04,Vitaminas,88,125
2023-01-04,Toallas de Papel,306,25
2023-01-04,Pasta Dental,148,45
2023-01-04,Jabon,960,100
2023-01-04,Perfume,24,180
2023-01-04,Peines,78,35
2023-01-05,Mochilas,14,250
2023-01-05,Papel Higienico,270,35
2023-01-05,Cepillo,212,50
2023-01-05,Cables USB,23,45
2023-01-05,Focos,37,35
2023-01-05,Baterias,139,25
2023-01-05,Toallas de Papel,397,25
2023-01-05,Cuadernos,124,45
2023-01-05,Fosforos,97,8
2023-01-05,Detergente,162,75
2023-01-05,Peines,39,35
2023-01-05,Curitas,46,25
2023-01-05,Repelente de Insectos,27,55
2023-01-05,Ambientador,67,65
2023-01-05,Trapeador,59,95
2023-01-05,Jabon,617,100
2023-01-05,Desinfectante,30,45
2023-01-05,Cinta Adhesiva,47,20
2023-01-05,Cubeta,12,150
2023-01-05,Sombreros,28,85
2023-01-06,Limpiavidrios,96,55
2023-01-06,Cremas,198,120
2023-01-06,Cables USB,36,45
2023-01-06,Perfume,21,180
2023-01-06,Curitas,116,25
2023-01-06,Brochas,38,45
2023-01-06,Protectores Solares,60,95
2023-01-06,Jabon,407,100
2023-01-06,Algodon,90,20
2023-01-06,Tijeras,47,55
2023-01-06,Cinta Adhesiva,44,20
2023-01-06,Velas,40,30
2023-01-06,Repelente de Insectos,50,55
